SITE_ID,SITE_NAME,TECH,STATUS,LON,LAT,DIST_ID,RSRP_MEAN,DAY2_ROLE
BTS-011,Central_S1,4G,OnAir,69.16,34.531,DZ-01,-83,Coverage
BTS-012,Central_S2,3G,OnAir,69.171,34.524,DZ-01,-90,Coverage
BTS-021,North_S1,4G,OnAir,69.145,34.563,DZ-02,-85,Coverage
BTS-022,North_S2,3G,OnAir,69.156,34.556,DZ-02,-92,Coverage
BTS-031,East_S1,4G,OnAir,69.215,34.533,DZ-03,-97,Coverage
BTS-032,East_S2,3G,OnAir,69.226,34.526,DZ-03,-81,Coverage
BTS-041,West_S1,4G,OnAir,69.095,34.523,DZ-04,-81,Coverage
BTS-042,West_S2,3G,OnAir,69.106,34.516,DZ-04,-82,Coverage
BTS-051,South_S1,4G,OnAir,69.17,34.483,DZ-05,-78,Coverage
BTS-052,South_S2,4G,OnAir,69.181,34.476,DZ-05,-100,Coverage
BTS-061,Airport_S1,4G,OnAir,69.205,34.568,DZ-06,-93,Coverage
BTS-062,Airport_S2,3G,OnAir,69.216,34.561,DZ-06,-82,Coverage
BTS-071,University_S1,4G,OnAir,69.135,34.548,DZ-07,-98,Coverage
BTS-072,University_S2,4G,OnAir,69.146,34.541,DZ-07,-80,Coverage
BTS-081,Old_S1,4G,OnAir,69.18,34.518,DZ-08,-86,Coverage
BTS-091,New_S1,4G,OnAir,69.085,34.558,DZ-09,-92,Coverage
BTS-101,River_S1,4G,OnAir,69.19,34.503,DZ-10,-100,Coverage
BTS-111,Tech_S1,4G,OnAir,69.12,34.503,DZ-11,-98,Coverage
BTS-121,Peri-Urban_S1,4G,OnAir,69.155,34.593,DZ-12,-79,Coverage
CAND-01,Candidate_1,4G,Candidate,69.08,34.57,DZ-09,-999,ExpansionCandidate
CAND-02,Candidate_2,4G,Candidate,69.11,34.48,DZ-11,-999,ExpansionCandidate
CAND-03,Candidate_3,4G,Candidate,69.095,34.518,DZ-04,-999,ExpansionCandidate
CAND-04,Candidate_4,4G,Candidate,69.17,34.6,DZ-12,-999,ExpansionCandidate
