MONTH,SUBSCRIBERS,ARPU_USD,CHURN_PCT,DROPPED_CALLS_PCT,FIBER_HP_PASSED,MW_LINKS_ONAIR,NPS
2025-01,11794,16.59,3.69,1.98,4213,4,26.7
2025-02,11966,16.76,3.86,1.78,4535,4,26.7
2025-03,12126,16.84,3.77,1.68,4792,4,28.2
2025-04,12385,16.9,3.5,1.63,4982,4,31.3
2025-05,12483,17.23,3.5,1.81,5311,4,31.3
2025-06,12758,17.07,3.54,1.63,5519,4,29.9
2025-07,12885,17.36,3.48,1.77,5793,4,30.5
2025-08,13116,17.33,3.32,1.47,5984,4,33.5
2025-09,13291,17.56,3.58,1.54,6247,5,33.3
2025-10,13474,17.7,3.16,1.54,6499,5,33.7
2025-11,13647,18.19,3.47,1.53,6807,5,34.0
2025-12,13757,18.36,3.39,1.57,7138,5,36.3
