HOME_ID,ADDRESS,SPLITTER_ID,ONT_ID,SERVICE_PLAN,LON,LAT,STATUS
HOME-101,11 Sample St Block 1,SPL-01,ONT-101,1Gbps,69.172194,34.529141,Planned
HOME-102,12 Sample St Block 1,SPL-01,ONT-102,1Gbps,69.170047,34.527524,Connected
HOME-103,13 Sample St Block 1,SPL-01,ONT-103,1Gbps,69.170779,34.528758,Connected
HOME-104,14 Sample St Block 1,SPL-01,ONT-104,1Gbps,69.16882,34.524544,Connected
HOME-105,15 Sample St Block 1,SPL-01,ONT-105,1Gbps,69.172789,34.527924,Connected
HOME-106,16 Sample St Block 1,SPL-01,ONT-106,50Mbps,69.17199,34.524379,Connected
HOME-107,17 Sample St Block 1,SPL-01,ONT-107,100Mbps,69.172277,34.527598,Planned
HOME-108,18 Sample St Block 1,SPL-01,ONT-108,200Mbps,69.169643,34.529055,Connected
HOME-201,11 Sample St Block 2,SPL-02,ONT-201,200Mbps,69.149999,34.560975,Planned
HOME-202,12 Sample St Block 2,SPL-02,ONT-202,200Mbps,69.149441,34.560308,Connected
HOME-203,13 Sample St Block 2,SPL-02,ONT-203,200Mbps,69.148892,34.558378,Connected
HOME-204,14 Sample St Block 2,SPL-02,ONT-204,50Mbps,69.147421,34.561598,Planned
HOME-205,15 Sample St Block 2,SPL-02,ONT-205,50Mbps,69.15208,34.559319,Connected
HOME-206,16 Sample St Block 2,SPL-02,ONT-206,50Mbps,69.148281,34.562562,Connected
HOME-207,17 Sample St Block 2,SPL-02,ONT-207,1Gbps,69.149253,34.561253,Planned
HOME-208,18 Sample St Block 2,SPL-02,ONT-208,50Mbps,69.150397,34.558191,Connected
HOME-301,11 Sample St Block 3,SPL-03,ONT-301,200Mbps,69.173523,34.486996,Planned
HOME-302,12 Sample St Block 3,SPL-03,ONT-302,50Mbps,69.173808,34.489242,Connected
HOME-303,13 Sample St Block 3,SPL-03,ONT-303,50Mbps,69.17579,34.487921,Connected
HOME-304,14 Sample St Block 3,SPL-03,ONT-304,1Gbps,69.176053,34.490912,Connected
HOME-305,15 Sample St Block 3,SPL-03,ONT-305,1Gbps,69.176862,34.485699,Planned
HOME-306,16 Sample St Block 3,SPL-03,ONT-306,100Mbps,69.173003,34.490186,Connected
HOME-307,17 Sample St Block 3,SPL-03,ONT-307,50Mbps,69.174264,34.487366,Connected
HOME-308,18 Sample St Block 3,SPL-03,ONT-308,50Mbps,69.178936,34.486279,Connected
HOME-309,19 Sample St Block 3,SPL-03,ONT-309,50Mbps,69.177636,34.486974,Connected
HOME-310,20 Sample St Block 3,SPL-03,ONT-310,1Gbps,69.17344,34.485541,Connected
HOME-311,21 Sample St Block 3,SPL-03,ONT-311,50Mbps,69.176608,34.48723,Planned
HOME-312,22 Sample St Block 3,SPL-03,ONT-312,100Mbps,69.178755,34.487902,Connected
