SITE_ID,SITE_NAME,TECH,LON,LAT,DIST_ID,RSRP_MEAN_DBM,CAPACITY_ERL,STATUS
BTS-011,Central_Site1,2G,69.1536,34.522601,DZ-01,-98,75,OnAir
BTS-012,Central_Site2,2G,69.169241,34.537412,DZ-01,-103,148,OnAir
BTS-021,North_Site1,2G,69.138715,34.553247,DZ-02,-89,46,OnAir
BTS-022,North_Site2,4G,69.142772,34.563597,DZ-02,-88,147,OnAir
BTS-031,East_Site1,3G,69.218781,34.524677,DZ-03,-78,41,OnAir
BTS-032,East_Site2,3G,69.224755,34.526166,DZ-03,-101,95,OnAir
BTS-041,West_Site1,4G,69.090453,34.517118,DZ-04,-94,128,OnAir
BTS-042,West_Site2,4G,69.094349,34.509043,DZ-04,-91,177,OnAir
BTS-051,South_Site1,2G,69.186355,34.477085,DZ-05,-88,115,OnAir
BTS-052,South_Site2,4G,69.184251,34.476679,DZ-05,-99,57,OnAir
BTS-061,Airport_Site1,2G,69.21387,34.571554,DZ-06,-103,99,OnAir
BTS-062,Airport_Site2,2G,69.207123,34.563882,DZ-06,-79,133,OnAir
BTS-071,University_Site1,3G,69.136884,34.538028,DZ-07,-97,58,OnAir
BTS-072,University_Site2,4G,69.143239,34.545819,DZ-07,-98,81,OnAir
BTS-081,Old_Site1,4G,69.182107,34.526749,DZ-08,-85,96,OnAir
BTS-082,Old_Site2,4G,69.193228,34.521624,DZ-08,-98,48,OnAir
BTS-091,New_Site1,4G,69.087628,34.544589,DZ-09,-76,120,OnAir
BTS-092,New_Site2,3G,69.093731,34.552495,DZ-09,-76,157,OnAir
BTS-101,River_Site1,3G,69.189357,34.493919,DZ-10,-88,177,OnAir
BTS-102,River_Site2,4G,69.200928,34.498282,DZ-10,-87,142,OnAir
BTS-111,Tech_Site1,4G,69.118264,34.511941,DZ-11,-89,166,OnAir
BTS-112,Tech_Site2,2G,69.131139,34.508666,DZ-11,-101,80,OnAir
BTS-121,Peri-Urban_Site1,4G,69.162314,34.587234,DZ-12,-86,159,OnAir
BTS-122,Peri-Urban_Site2,4G,69.154034,34.591277,DZ-12,-75,42,OnAir
CAND-01,Candidate_1,4G,69.08,34.57,DZ-09,-999,0,Candidate
CAND-02,Candidate_2,4G,69.23,34.49,DZ-03,-999,0,Candidate
CAND-03,Candidate_3,4G,69.11,34.48,DZ-11,-999,0,Candidate
CAND-04,Candidate_4,4G,69.17,34.6,DZ-12,-999,0,Candidate
