COMP_ID,OPERATOR,TECH,LON,LAT,DIST_ID
CMP-01,RivalA,4G,69.133058,34.495205,DZ-11
CMP-02,RivalB,3G,69.173612,34.493614,DZ-05
CMP-03,RivalB,3G,69.16023,34.578192,DZ-12
CMP-04,RivalB,3G,69.114585,34.507875,DZ-11
CMP-05,RivalA,4G,69.089658,34.543356,DZ-09
CMP-06,RivalB,3G,69.196738,34.57634,DZ-06
CMP-07,RivalA,4G,69.159481,34.57434,DZ-02
CMP-08,RivalA,3G,69.094793,34.568405,DZ-09
CMP-09,RivalB,4G,69.233931,34.542867,DZ-03
CMP-10,RivalA,4G,69.15697,34.595151,DZ-12
CMP-11,RivalB,4G,69.19863,34.556741,DZ-06
CMP-12,RivalA,3G,69.212653,34.550216,DZ-06
CMP-13,RivalA,3G,69.147022,34.575942,DZ-12
CMP-14,RivalA,3G,69.203354,34.564562,DZ-06
CMP-15,RivalA,4G,69.08229,34.554189,DZ-09
