DIST_ID,SUBSCRIBERS,AVG_ARPU,AVG_CHURN_RISK,AVG_DROP_RATE,AVG_THROUGHPUT,ENTERPRISE_CNT,POSTPAID_CNT,PREPAID_CNT,HIGH_VALUE_CNT,AT_RISK_CNT,MARKET_PENETRATION
DZ-01,95,21.39,0.309,2.25,37.2,8,23,64,26,12,0.0005
DZ-02,72,23.3,0.327,2.33,36.6,8,17,47,23,9,0.0005
DZ-03,46,20.45,0.304,2.36,35.3,1,18,27,16,5,0.0005
DZ-04,54,22.75,0.368,2.37,35.9,7,12,35,15,15,0.0004
DZ-05,68,20.44,0.302,2.42,33.9,3,21,44,20,8,0.0004
DZ-06,26,21.15,0.26,2.18,37.7,2,7,17,7,3,0.0004
DZ-07,59,21.21,0.282,2.3,38.8,4,19,36,16,8,0.0005
DZ-08,53,23.68,0.311,2.43,35.9,5,20,28,16,7,0.0005
DZ-09,45,22.04,0.312,2.36,37.1,4,17,24,14,6,0.0005
DZ-10,33,21.42,0.371,2.33,37.6,3,10,20,13,9,0.0005
DZ-11,17,26.45,0.301,2.43,34.0,3,3,11,6,1,0.0003
DZ-12,32,17.95,0.285,2.28,39.5,1,9,22,7,6,0.0007
