EdgeID,EdgeType,FromID,ToID,CableID,FiberCount,Length_m,Status,Notes,Enabled,FlowDirect
E-SRC-01,Backbone_Fiber,SRC-IXP-01,CORE-01,BB-SRC-A,288,1423.17,Active,,1,1
E-SRC-02,Backbone_Fiber,SRC-IXP-02,CORE-02,BB-SRC-B,288,3960.36,Active,,1,1
E-SRC-03,Backbone_Fiber,SRC-SAT-01,CORE-01,BB-SAT,48,3542.75,Standby,Satellite backup,1,1
E-CORE-RING,Core_Ring,CORE-01,CORE-02,CORE-RING-1,288,2038.47,Active,,1,1
E-CORE-01-HUB-01,Backbone_Fiber,CORE-01,HUB-01,BB-HUB-01,144,1467.6,Active,,1,1
E-CORE-01-HUB-02,Backbone_Fiber,CORE-01,HUB-02,BB-HUB-02,144,1920.49,Active,,1,1
E-CORE-01-HUB-03,Backbone_Fiber,CORE-01,HUB-03,BB-HUB-03,144,3509.33,Active,,1,1
E-CORE-02-HUB-04,Backbone_Fiber,CORE-02,HUB-04,BB-HUB-04,144,4034.34,Active,,1,1
E-CORE-02-HUB-05,Backbone_Fiber,CORE-02,HUB-05,BB-HUB-05,144,2384.38,Active,,1,1
E-CORE-02-HUB-06,Backbone_Fiber,CORE-02,HUB-06,BB-HUB-06,144,2046.87,Active,,1,1
E-RING-0102,Hub_Ring,HUB-01,HUB-02,RING-HUB-01-HUB-02,96,3388.09,Active,,1,1
E-RING-0203,Hub_Ring,HUB-02,HUB-03,RING-HUB-02-HUB-03,96,4105.34,Active,,1,1
E-RING-0104,Hub_Ring,HUB-01,HUB-04,RING-HUB-01-HUB-04,96,3358.14,Active,,1,1
E-RING-0506,Hub_Ring,HUB-05,HUB-06,RING-HUB-05-HUB-06,96,2920.14,Active,,1,1
E-RING-0405,Hub_Ring,HUB-04,HUB-05,RING-HUB-04-HUB-05,96,4243.5,Active,,1,1
E-HUB-01-OLT-01,Feeder_Fiber,HUB-01,OLT-01,FD-OLT-01,72,1137.33,Active,,1,1
E-HUB-01-OLT-02,Feeder_Fiber,HUB-01,OLT-02,FD-OLT-02,72,588.86,Active,,1,1
E-HUB-01-OLT-03,Feeder_Fiber,HUB-01,OLT-03,FD-OLT-03,72,1303.44,Active,,1,1
E-HUB-02-OLT-04,Feeder_Fiber,HUB-02,OLT-04,FD-OLT-04,72,1516.97,Active,,1,1
E-HUB-02-OLT-05,Feeder_Fiber,HUB-02,OLT-05,FD-OLT-05,72,128.31,Active,,1,1
E-HUB-02-OLT-06,Feeder_Fiber,HUB-02,OLT-06,FD-OLT-06,72,1325.75,Active,,1,1
E-HUB-03-OLT-07,Feeder_Fiber,HUB-03,OLT-07,FD-OLT-07,72,1158.2,Active,,1,1
E-HUB-03-OLT-08,Feeder_Fiber,HUB-03,OLT-08,FD-OLT-08,72,316.39,Active,,1,1
E-HUB-03-OLT-09,Feeder_Fiber,HUB-03,OLT-09,FD-OLT-09,72,1122.31,Active,,1,1
E-HUB-04-OLT-10,Feeder_Fiber,HUB-04,OLT-10,FD-OLT-10,72,1262.81,Active,,1,1
E-HUB-04-OLT-11,Feeder_Fiber,HUB-04,OLT-11,FD-OLT-11,72,736.34,Active,,1,1
E-HUB-04-OLT-12,Feeder_Fiber,HUB-04,OLT-12,FD-OLT-12,72,1448.46,Active,,1,1
E-HUB-05-OLT-13,Feeder_Fiber,HUB-05,OLT-13,FD-OLT-13,72,1344.54,Active,,1,1
E-HUB-05-OLT-14,Feeder_Fiber,HUB-05,OLT-14,FD-OLT-14,72,264.84,Active,,1,1
E-HUB-05-OLT-15,Feeder_Fiber,HUB-05,OLT-15,FD-OLT-15,72,1319.74,Active,,1,1
