JunctionID,JuncType,Name,Lon,Lat,Level,ParentID,Status,Capacity,Notes,Enabled,AncillaryR
SRC-IXP-01,Internet_Source,IXP_Primary_A,69.155,34.545,0,,Active,100000,Primary IXP,1,1
SRC-IXP-02,Internet_Source,IXP_Secondary_B,69.182,34.552,0,,Active,80000,Secondary IXP,1,1
SRC-SAT-01,Internet_Source,Satellite_Backup_Gateway,69.14,34.56,0,,Standby,20000,Backup,1,1
CORE-01,Core_POP,National_Core_East,69.168,34.538,1,SRC-IXP-01,Active,200000,Core East,1,0
CORE-02,Core_POP,National_Core_West,69.148,34.53,1,SRC-IXP-02,Active,180000,Core West,1,0
HUB-01,Regional_Hub,Hub_Central,69.165,34.525,2,CORE-01,Active,50000,Hub_Central,1,0
HUB-02,Regional_Hub,Hub_North,69.172,34.555,2,CORE-01,Active,50000,Hub_North,1,0
HUB-03,Regional_Hub,Hub_East,69.205,34.53,2,CORE-01,Active,50000,Hub_East,1,0
HUB-04,Regional_Hub,Hub_South,69.16,34.495,2,CORE-02,Active,50000,Hub_South,1,0
HUB-05,Regional_Hub,Hub_West,69.125,34.52,2,CORE-02,Active,50000,Hub_West,1,0
HUB-06,Regional_Hub,Hub_NW,69.135,34.545,2,CORE-02,Active,50000,Hub_NW,1,0
OLT-01,OLT,OLT_Hub_Central_1,69.15263414,34.52567155,3,HUB-01,Active,8192,HUB-01,1,0
OLT-02,OLT,OLT_Hub_Central_2,69.16644815,34.51982665,3,HUB-01,Active,8192,HUB-01,1,0
OLT-03,OLT,OLT_Hub_Central_3,69.17590064,34.51746556,3,HUB-01,Active,8192,HUB-01,1,0
OLT-04,OLT,OLT_Hub_North_1,69.1584666,34.54714089,3,HUB-02,Active,8192,HUB-02,1,0
OLT-05,OLT,OLT_Hub_North_2,69.17062676,34.55521941,3,HUB-02,Active,8192,HUB-02,1,0
OLT-06,OLT,OLT_Hub_North_3,69.18595797,34.55809616,3,HUB-02,Active,8192,HUB-02,1,0
OLT-07,OLT,OLT_Hub_East_1,69.19251371,34.52848076,3,HUB-03,Active,8192,HUB-03,1,0
OLT-08,OLT,OLT_Hub_East_2,69.20576524,34.52721792,3,HUB-03,Active,8192,HUB-03,1,0
OLT-09,OLT,OLT_Hub_East_3,69.21529421,34.53546437,3,HUB-03,Active,8192,HUB-03,1,0
OLT-10,OLT,OLT_Hub_South_1,69.14846888,34.48879216,3,HUB-04,Active,8192,HUB-04,1,0
OLT-11,OLT,OLT_Hub_South_2,69.15828027,34.48851404,3,HUB-04,Active,8192,HUB-04,1,0
OLT-12,OLT,OLT_Hub_South_3,69.17383569,34.48872347,3,HUB-04,Active,8192,HUB-04,1,0
OLT-13,OLT,OLT_Hub_West_1,69.11350127,34.52751308,3,HUB-05,Active,8192,HUB-05,1,0
OLT-14,OLT,OLT_Hub_West_2,69.12314001,34.51817406,3,HUB-05,Active,8192,HUB-05,1,0
OLT-15,OLT,OLT_Hub_West_3,69.13690912,34.52667023,3,HUB-05,Active,8192,HUB-05,1,0
OLT-16,OLT,OLT_Hub_NW_1,69.12175437,34.54113355,3,HUB-06,Active,8192,HUB-06,1,0
OLT-17,OLT,OLT_Hub_NW_2,69.13399186,34.53778728,3,HUB-06,Active,8192,HUB-06,1,0
OLT-18,OLT,OLT_Hub_NW_3,69.14769487,34.55006729,3,HUB-06,Active,8192,HUB-06,1,0
FDH-001,FDH,FDH_OLT-01_1,69.16063414,34.52567155,4,OLT-01,Active,512,OLT-01,1,0
JC-FDH-001,Joint_Closure,Joint_FDH-001,69.15653233,34.52493209,4,OLT-01,Active,72,Feeder joint,1,0
FDH-002,FDH,FDH_OLT-01_2,69.15572431,34.53375553,4,OLT-01,Active,512,OLT-01,1,0
JC-FDH-002,Joint_Closure,Joint_FDH-002,69.15452096,34.53009282,4,OLT-01,Active,72,Feeder joint,1,0
FDH-003,FDH,FDH_OLT-01_3,69.14616201,34.52966849,4,OLT-01,Active,512,OLT-01,1,0
JC-FDH-003,Joint_Closure,Joint_FDH-003,69.14964359,34.52739587,4,OLT-01,Active,72,Feeder joint,1,0
FDH-004,FDH,FDH_OLT-01_4,69.14454397,34.52067538,4,OLT-01,Active,512,OLT-01,1,0
JC-FDH-004,Joint_Closure,Joint_FDH-004,69.14911783,34.52338236,4,OLT-01,Active,72,Feeder joint,1,0
FDH-005,FDH,FDH_OLT-01_5,69.15510628,34.51920437,4,OLT-01,Active,512,OLT-01,1,0
JC-FDH-005,Joint_Closure,Joint_FDH-005,69.15401417,34.52250281,4,OLT-01,Active,72,Feeder joint,1,0
FDH-006,FDH,FDH_OLT-02_1,69.17444815,34.51982665,4,OLT-02,Active,512,OLT-02,1,0
JC-FDH-006,Joint_Closure,Joint_FDH-006,69.17002136,34.51975557,4,OLT-02,Active,72,Feeder joint,1,0
FDH-007,FDH,FDH_OLT-02_2,69.16953832,34.52791063,4,OLT-02,Active,512,OLT-02,1,0
JC-FDH-007,Joint_Closure,Joint_FDH-007,69.16846373,34.52416265,4,OLT-02,Active,72,Feeder joint,1,0
FDH-008,FDH,FDH_OLT-02_3,69.15997601,34.52382359,4,OLT-02,Active,512,OLT-02,1,0
JC-FDH-008,Joint_Closure,Joint_FDH-008,69.16296553,34.5223365,4,OLT-02,Active,72,Feeder joint,1,0
FDH-009,FDH,FDH_OLT-02_4,69.15835798,34.51483048,4,OLT-02,Active,512,OLT-02,1,0
JC-FDH-009,Joint_Closure,Joint_FDH-009,69.16294613,34.51659836,4,OLT-02,Active,72,Feeder joint,1,0
FDH-010,FDH,FDH_OLT-02_5,69.16892028,34.51335947,4,OLT-02,Active,512,OLT-02,1,0
JC-FDH-010,Joint_Closure,Joint_FDH-010,69.16713585,34.51615009,4,OLT-02,Active,72,Feeder joint,1,0
FDH-011,FDH,FDH_OLT-03_1,69.18390064,34.51746556,4,OLT-03,Active,512,OLT-03,1,0
JC-FDH-011,Joint_Closure,Joint_FDH-011,69.17912398,34.51787108,4,OLT-03,Active,72,Feeder joint,1,0
FDH-012,FDH,FDH_OLT-03_2,69.17899081,34.52554954,4,OLT-03,Active,512,OLT-03,1,0
JC-FDH-012,Joint_Closure,Joint_FDH-012,69.17768059,34.52157667,4,OLT-03,Active,72,Feeder joint,1,0
FDH-013,FDH,FDH_OLT-03_3,69.1694285,34.5214625,4,OLT-03,Active,512,OLT-03,1,0
JC-FDH-013,Joint_Closure,Joint_FDH-013,69.17345603,34.51923471,4,OLT-03,Active,72,Feeder joint,1,0
FDH-014,FDH,FDH_OLT-03_4,69.16781047,34.51246938,4,OLT-03,Active,512,OLT-03,1,0
JC-FDH-014,Joint_Closure,Joint_FDH-014,69.17137403,34.5143459,4,OLT-03,Active,72,Feeder joint,1,0
FDH-015,FDH,FDH_OLT-03_5,69.17837277,34.51099837,4,OLT-03,Active,512,OLT-03,1,0
JC-FDH-015,Joint_Closure,Joint_FDH-015,69.17688091,34.51477285,4,OLT-03,Active,72,Feeder joint,1,0
FDH-016,FDH,FDH_OLT-04_1,69.1664666,34.54714089,4,OLT-04,Active,512,OLT-04,1,0
JC-FDH-016,Joint_Closure,Joint_FDH-016,69.16263737,34.54643573,4,OLT-04,Active,72,Feeder joint,1,0
FDH-017,FDH,FDH_OLT-04_2,69.16155677,34.55522487,4,OLT-04,Active,512,OLT-04,1,0
JC-FDH-017,Joint_Closure,Joint_FDH-017,69.15990486,34.55045965,4,OLT-04,Active,72,Feeder joint,1,0
FDH-018,FDH,FDH_OLT-04_3,69.15199447,34.55113783,4,OLT-04,Active,512,OLT-04,1,0
JC-FDH-018,Joint_Closure,Joint_FDH-018,69.15542747,34.54853534,4,OLT-04,Active,72,Feeder joint,1,0
FDH-019,FDH,FDH_OLT-04_4,69.15037643,34.54214472,4,OLT-04,Active,512,OLT-04,1,0
JC-FDH-019,Joint_Closure,Joint_FDH-019,69.15390862,34.54487072,4,OLT-04,Active,72,Feeder joint,1,0
FDH-020,FDH,FDH_OLT-04_5,69.16093874,34.54067371,4,OLT-04,Active,512,OLT-04,1,0
JC-FDH-020,Joint_Closure,Joint_FDH-020,69.16023956,34.54409872,4,OLT-04,Active,72,Feeder joint,1,0
FDH-021,FDH,FDH_OLT-05_1,69.17862676,34.55521941,4,OLT-05,Active,512,OLT-05,1,0
JC-FDH-021,Joint_Closure,Joint_FDH-021,69.17429668,34.55545192,4,OLT-05,Active,72,Feeder joint,1,0
FDH-022,FDH,FDH_OLT-05_2,69.17371693,34.56330339,4,OLT-05,Active,512,OLT-05,1,0
JC-FDH-022,Joint_Closure,Joint_FDH-022,69.17180712,34.55847218,4,OLT-05,Active,72,Feeder joint,1,0
FDH-023,FDH,FDH_OLT-05_3,69.16415463,34.55921635,4,OLT-05,Active,512,OLT-05,1,0
JC-FDH-023,Joint_Closure,Joint_FDH-023,69.16702895,34.55751906,4,OLT-05,Active,72,Feeder joint,1,0
FDH-024,FDH,FDH_OLT-05_4,69.16253659,34.55022324,4,OLT-05,Active,512,OLT-05,1,0
JC-FDH-024,Joint_Closure,Joint_FDH-024,69.16678404,34.55222953,4,OLT-05,Active,72,Feeder joint,1,0
FDH-025,FDH,FDH_OLT-05_5,69.1730989,34.54875223,4,OLT-05,Active,512,OLT-05,1,0
JC-FDH-025,Joint_Closure,Joint_FDH-025,69.17240783,34.5525149,4,OLT-05,Active,72,Feeder joint,1,0
FDH-026,FDH,FDH_OLT-06_1,69.19395797,34.55809616,4,OLT-06,Active,512,OLT-06,1,0
JC-FDH-026,Joint_Closure,Joint_FDH-026,69.18960497,34.55883365,4,OLT-06,Active,72,Feeder joint,1,0
FDH-027,FDH,FDH_OLT-06_2,69.18904814,34.56618014,4,OLT-06,Active,512,OLT-06,1,0
JC-FDH-027,Joint_Closure,Joint_FDH-027,69.18712316,34.56144196,4,OLT-06,Active,72,Feeder joint,1,0
FDH-028,FDH,FDH_OLT-06_3,69.17948584,34.5620931,4,OLT-06,Active,512,OLT-06,1,0
JC-FDH-028,Joint_Closure,Joint_FDH-028,69.18274148,34.56067854,4,OLT-06,Active,72,Feeder joint,1,0
FDH-029,FDH,FDH_OLT-06_4,69.1778678,34.55309999,4,OLT-06,Active,512,OLT-06,1,0
JC-FDH-029,Joint_Closure,Joint_FDH-029,69.1820724,34.55567223,4,OLT-06,Active,72,Feeder joint,1,0
FDH-030,FDH,FDH_OLT-06_5,69.18843011,34.55162898,4,OLT-06,Active,512,OLT-06,1,0
JC-FDH-030,Joint_Closure,Joint_FDH-030,69.18717428,34.55451719,4,OLT-06,Active,72,Feeder joint,1,0
FDH-031,FDH,FDH_OLT-07_1,69.20051371,34.52848076,4,OLT-07,Active,512,OLT-07,1,0
JC-FDH-031,Joint_Closure,Joint_FDH-031,69.19619351,34.5283257,4,OLT-07,Active,72,Feeder joint,1,0
FDH-032,FDH,FDH_OLT-07_2,69.19560388,34.53656474,4,OLT-07,Active,512,OLT-07,1,0
JC-FDH-032,Joint_Closure,Joint_FDH-032,69.19413416,34.53323132,4,OLT-07,Active,72,Feeder joint,1,0
FDH-033,FDH,FDH_OLT-07_3,69.18604157,34.5324777,4,OLT-07,Active,512,OLT-07,1,0
JC-FDH-033,Joint_Closure,Joint_FDH-033,69.18859408,34.53008267,4,OLT-07,Active,72,Feeder joint,1,0
FDH-034,FDH,FDH_OLT-07_4,69.18442354,34.52348459,4,OLT-07,Active,512,OLT-07,1,0
JC-FDH-034,Joint_Closure,Joint_FDH-034,69.1891782,34.52623436,4,OLT-07,Active,72,Feeder joint,1,0
FDH-035,FDH,FDH_OLT-07_5,69.19498584,34.52201358,4,OLT-07,Active,512,OLT-07,1,0
JC-FDH-035,Joint_Closure,Joint_FDH-035,69.19306875,34.52515377,4,OLT-07,Active,72,Feeder joint,1,0
FDH-036,FDH,FDH_OLT-08_1,69.21376524,34.52721792,4,OLT-08,Active,512,OLT-08,1,0
JC-FDH-036,Joint_Closure,Joint_FDH-036,69.21000683,34.52787706,4,OLT-08,Active,72,Feeder joint,1,0
FDH-037,FDH,FDH_OLT-08_2,69.20885541,34.5353019,4,OLT-08,Active,512,OLT-08,1,0
JC-FDH-037,Joint_Closure,Joint_FDH-037,69.20664509,34.53190358,4,OLT-08,Active,72,Feeder joint,1,0
FDH-038,FDH,FDH_OLT-08_3,69.1992931,34.53121486,4,OLT-08,Active,512,OLT-08,1,0
JC-FDH-038,Joint_Closure,Joint_FDH-038,69.20296228,34.52886214,4,OLT-08,Active,72,Feeder joint,1,0
FDH-039,FDH,FDH_OLT-08_4,69.19767507,34.52222174,4,OLT-08,Active,512,OLT-08,1,0
JC-FDH-039,Joint_Closure,Joint_FDH-039,69.20177362,34.52524051,4,OLT-08,Active,72,Feeder joint,1,0
FDH-040,FDH,FDH_OLT-08_5,69.20823737,34.52075073,4,OLT-08,Active,512,OLT-08,1,0
JC-FDH-040,Joint_Closure,Joint_FDH-040,69.20659032,34.52430647,4,OLT-08,Active,72,Feeder joint,1,0
FDH-041,FDH,FDH_OLT-09_1,69.22329421,34.53546437,4,OLT-09,Active,512,OLT-09,1,0
JC-FDH-041,Joint_Closure,Joint_FDH-041,69.2193903,34.53478118,4,OLT-09,Active,72,Feeder joint,1,0
FDH-042,FDH,FDH_OLT-09_2,69.21838438,34.54354835,4,OLT-09,Active,512,OLT-09,1,0
JC-FDH-042,Joint_Closure,Joint_FDH-042,69.21647405,34.53936626,4,OLT-09,Active,72,Feeder joint,1,0
FDH-043,FDH,FDH_OLT-09_3,69.20882208,34.53946131,4,OLT-09,Active,512,OLT-09,1,0
JC-FDH-043,Joint_Closure,Joint_FDH-043,69.21148144,34.53817297,4,OLT-09,Active,72,Feeder joint,1,0
FDH-044,FDH,FDH_OLT-09_4,69.20720404,34.53046819,4,OLT-09,Active,512,OLT-09,1,0
JC-FDH-044,Joint_Closure,Joint_FDH-044,69.21084926,34.53253708,4,OLT-09,Active,72,Feeder joint,1,0
FDH-045,FDH,FDH_OLT-09_5,69.21776635,34.52899718,4,OLT-09,Active,512,OLT-09,1,0
JC-FDH-045,Joint_Closure,Joint_FDH-045,69.21668576,34.53227489,4,OLT-09,Active,72,Feeder joint,1,0
FDH-046,FDH,FDH_OLT-10_1,69.15646888,34.48879216,4,OLT-10,Active,512,OLT-10,1,0
JC-FDH-046,Joint_Closure,Joint_FDH-046,69.15217945,34.48851285,4,OLT-10,Active,72,Feeder joint,1,0
FDH-047,FDH,FDH_OLT-10_2,69.15155905,34.49687614,4,OLT-10,Active,512,OLT-10,1,0
JC-FDH-047,Joint_Closure,Joint_FDH-047,69.15000842,34.49348895,4,OLT-10,Active,72,Feeder joint,1,0
FDH-048,FDH,FDH_OLT-10_3,69.14199674,34.4927891,4,OLT-10,Active,512,OLT-10,1,0
JC-FDH-048,Joint_Closure,Joint_FDH-048,69.14455917,34.4914499,4,OLT-10,Active,72,Feeder joint,1,0
FDH-049,FDH,FDH_OLT-10_4,69.14037871,34.48379598,4,OLT-10,Active,512,OLT-10,1,0
