ONT_ID,BUILDING_ID,FDH_ID,DIST_ID,LON,LAT,SERVICE,STATUS,BANDWIDTH_MBPS
ONT-001,BLD-001,FDH-03,DZ-03,69.211828,34.53122,Residential,Connected,500
ONT-002,BLD-002,FDH-02,DZ-02,69.147298,34.564766,Enterprise,Connected,50
ONT-003,BLD-003,FDH-02,DZ-02,69.148935,34.55596,SME,Planned,500
ONT-004,BLD-004,FDH-03,DZ-03,69.218601,34.526074,SME,Connected,200
ONT-005,BLD-005,FDH-05,DZ-05,69.176556,34.48369,Residential,Planned,50
ONT-006,BLD-006,FDH-05,DZ-05,69.179846,34.484513,Enterprise,Connected,50
ONT-007,BLD-007,FDH-05,DZ-05,69.174566,34.487994,Residential,Connected,100
ONT-008,BLD-008,FDH-05,DZ-05,69.177875,34.478076,Residential,Planned,500
ONT-009,BLD-009,FDH-01,DZ-01,69.171559,34.518854,Enterprise,Connected,200
ONT-010,BLD-010,FDH-03,DZ-03,69.214357,34.528094,Enterprise,Connected,100
ONT-011,BLD-011,FDH-03,DZ-03,69.211164,34.533959,Enterprise,Connected,1000
ONT-012,BLD-012,FDH-01,DZ-01,69.171904,34.525538,Residential,Planned,1000
ONT-013,BLD-013,FDH-05,DZ-05,69.181755,34.484874,Residential,Connected,50
ONT-014,BLD-014,FDH-05,DZ-05,69.173905,34.491441,Enterprise,Planned,50
ONT-015,BLD-015,FDH-03,DZ-03,69.218404,34.526009,SME,Connected,100
ONT-016,BLD-016,FDH-02,DZ-02,69.153943,34.559317,Residential,Planned,200
ONT-017,BLD-017,FDH-01,DZ-01,69.171936,34.525461,SME,Connected,1000
ONT-018,BLD-018,FDH-02,DZ-02,69.154984,34.553344,Residential,Connected,500
ONT-019,BLD-019,FDH-05,DZ-05,69.191294,34.482773,Enterprise,Connected,1000
ONT-020,BLD-020,FDH-03,DZ-03,69.222262,34.533858,SME,Connected,200
ONT-021,BLD-021,FDH-03,DZ-03,69.220736,34.533346,Residential,Planned,100
ONT-022,BLD-022,FDH-01,DZ-01,69.175587,34.523194,SME,Connected,50
ONT-023,BLD-023,FDH-05,DZ-05,69.183611,34.481045,SME,Planned,1000
ONT-024,BLD-024,FDH-05,DZ-05,69.178268,34.491213,Enterprise,Connected,50
ONT-025,BLD-025,FDH-05,DZ-05,69.182036,34.480375,SME,Connected,100
ONT-026,BLD-026,FDH-02,DZ-02,69.151407,34.560278,Residential,Connected,200
ONT-027,BLD-027,FDH-03,DZ-03,69.218239,34.53231,SME,Planned,500
ONT-028,BLD-028,FDH-03,DZ-03,69.212961,34.529425,Enterprise,Planned,500
ONT-029,BLD-029,FDH-02,DZ-02,69.149124,34.568031,Enterprise,Connected,200
ONT-030,BLD-030,FDH-05,DZ-05,69.18416,34.485536,Enterprise,Connected,100
ONT-031,BLD-031,FDH-02,DZ-02,69.146456,34.561566,Residential,Connected,1000
ONT-032,BLD-032,FDH-01,DZ-01,69.169783,34.522379,Residential,Connected,100
ONT-033,BLD-033,FDH-01,DZ-01,69.169658,34.529831,SME,Planned,1000
ONT-034,BLD-034,FDH-05,DZ-05,69.185091,34.485729,Residential,Connected,50
ONT-035,BLD-035,FDH-02,DZ-02,69.152578,34.564342,Residential,Connected,200
ONT-036,BLD-036,FDH-03,DZ-03,69.219394,34.529319,SME,Connected,200
ONT-037,BLD-037,FDH-05,DZ-05,69.178989,34.478231,Residential,Planned,100
ONT-038,BLD-038,FDH-03,DZ-03,69.219896,34.535946,SME,Connected,200
ONT-039,BLD-039,FDH-05,DZ-05,69.174919,34.477396,SME,Connected,500
ONT-040,BLD-040,FDH-03,DZ-03,69.222664,34.535968,Enterprise,Connected,200
ONT-041,BLD-041,FDH-02,DZ-02,69.142314,34.562706,Residential,Connected,50
ONT-042,BLD-042,FDH-05,DZ-05,69.178662,34.489185,Residential,Connected,1000
ONT-043,BLD-043,FDH-03,DZ-03,69.22037,34.533662,Enterprise,Connected,50
ONT-044,BLD-044,FDH-02,DZ-02,69.148404,34.559276,Enterprise,Connected,200
ONT-045,BLD-045,FDH-03,DZ-03,69.217581,34.532008,Enterprise,Connected,200
ONT-046,BLD-046,FDH-02,DZ-02,69.144121,34.556489,SME,Planned,50
ONT-047,BLD-047,FDH-05,DZ-05,69.181482,34.491244,SME,Connected,50
ONT-048,BLD-048,FDH-05,DZ-05,69.176235,34.486595,SME,Connected,100
ONT-049,BLD-049,FDH-01,DZ-01,69.165565,34.532995,Residential,Connected,50
ONT-050,BLD-050,FDH-05,DZ-05,69.180327,34.480935,Enterprise,Connected,500
ONT-051,BLD-051,FDH-02,DZ-02,69.15214,34.55733,SME,Connected,50
ONT-052,BLD-052,FDH-01,DZ-01,69.166192,34.529759,Enterprise,Planned,50
ONT-053,BLD-053,FDH-01,DZ-01,69.17618,34.521511,Residential,Planned,1000
ONT-054,BLD-054,FDH-03,DZ-03,69.21676,34.531522,SME,Planned,1000
ONT-055,BLD-055,FDH-02,DZ-02,69.152908,34.561483,Residential,Planned,1000
ONT-056,BLD-056,FDH-02,DZ-02,69.148806,34.564964,SME,Connected,100
ONT-057,BLD-057,FDH-05,DZ-05,69.182113,34.487448,Enterprise,Planned,50
ONT-058,BLD-058,FDH-05,DZ-05,69.178222,34.485633,Enterprise,Connected,500
