NODE_ID,NODE_NAME,NODE_TYPE,TECH,LON,LAT,STATUS,DIST_ID,ELEV_M,ANTENNA_H_M
OLT-01,Central_OLT,OLT,GPON,69.168,34.53,Existing,DZ-01,1800,0
OLT-02,North_OLT,OLT,GPON,69.152,34.558,Existing,DZ-02,1825,0
FDH-01,CBD_FDH,FDH,GPON,69.172,34.525,Existing,DZ-01,1795,0
FDH-02,North_FDH,FDH,GPON,69.148,34.562,Existing,DZ-02,1830,0
FDH-03,East_FDH,FDH,GPON,69.218,34.532,Existing,DZ-03,1780,0
FDH-04,West_FDH,FDH,GPON,69.105,34.522,Planned,DZ-04,1810,0
FDH-05,South_FDH,FDH,GPON,69.178,34.485,Existing,DZ-05,1770,0
FDH-06,TechPark_FDH,FDH,GPON,69.128,34.502,Planned,DZ-11,1805,0
SPL-01,Splitter_CBD_A,Splitter,1:8,69.17,34.527,Existing,DZ-01,1798,0
SPL-02,Splitter_North_A,Splitter,1:8,69.15,34.56,Existing,DZ-02,1828,0
SPL-03,Splitter_South_A,Splitter,1:16,69.176,34.488,Existing,DZ-05,1772,0
MW-01,Hub_Central,MW_Hub,Microwave,69.166,34.532,Existing,DZ-01,1850,35
MW-02,Hub_North,MW_Hub,Microwave,69.155,34.565,Existing,DZ-02,1880,30
MW-03,Remote_East,MW_Remote,Microwave,69.225,34.535,Existing,DZ-03,1795,25
MW-04,Remote_South,MW_Remote,Microwave,69.18,34.478,Existing,DZ-05,1765,28
MW-05,Remote_West,MW_Remote,Microwave,69.095,34.518,Planned,DZ-04,1820,30
MW-06,Remote_Airport,MW_Remote,Microwave,69.215,34.568,Existing,DZ-06,1790,32
MW-07,Remote_NewTown,MW_Remote,Microwave,69.085,34.555,Planned,DZ-09,1840,28
JH-01,Joint_CBD_N,Joint,Fiber,69.17,34.54,Existing,DZ-01,1805,0
JH-02,Joint_East_Link,Joint,Fiber,69.195,34.531,Existing,DZ-08,1790,0
JH-03,Joint_South_Link,Joint,Fiber,69.174,34.505,Existing,DZ-10,1785,0
JH-04,Joint_West_Plan,Joint,Fiber,69.12,34.525,Planned,DZ-04,1812,0
