LON,LAT,ELEV_M
69.07,34.46,1750.0
69.07,34.465,1752.0
69.07,34.47,1754.0
69.07,34.475,1756.0
69.07,34.48,1758.0
69.07,34.485,1760.0
69.07,34.49,1762.0
69.07,34.495,1764.0
69.07,34.5,1766.0
69.07,34.505,1768.0
69.07,34.51,1770.0
69.07,34.515,1772.0
69.07,34.52,1774.0
69.07,34.525,1776.0
69.07,34.53,1778.0
69.07,34.535,1780.0
69.07,34.54,1782.0
69.07,34.545,1784.0
69.07,34.55,1786.0
69.07,34.555,1788.0
69.07,34.56,1790.0
69.07,34.565,1792.0
69.07,34.57,1794.0
69.07,34.575,1796.0
69.07,34.58,1798.0
69.07,34.585,1800.0
69.07,34.59,1802.0
69.07,34.595,1804.0
69.07,34.6,1806.0
69.07,34.605,1808.0
69.07,34.61,1810.0
69.075,34.46,1750.4
69.075,34.465,1752.4
69.075,34.47,1754.4
69.075,34.475,1756.4
69.075,34.48,1758.4
69.075,34.485,1760.4
69.075,34.49,1762.4
69.075,34.495,1764.4
69.075,34.5,1766.4
69.075,34.505,1768.4
69.075,34.51,1770.4
69.075,34.515,1772.4
69.075,34.52,1774.4
69.075,34.525,1776.4
69.075,34.53,1778.4
69.075,34.535,1780.4
69.075,34.54,1782.4
69.075,34.545,1784.4
69.075,34.55,1786.4
69.075,34.555,1788.4
69.075,34.56,1790.4
69.075,34.565,1792.4
69.075,34.57,1794.4
69.075,34.575,1796.4
69.075,34.58,1798.4
69.075,34.585,1800.4
69.075,34.59,1802.4
69.075,34.595,1804.4
69.075,34.6,1806.4
69.075,34.605,1808.4
69.075,34.61,1810.4
69.08,34.46,1750.8
69.08,34.465,1752.8
69.08,34.47,1754.8
69.08,34.475,1756.8
69.08,34.48,1758.8
69.08,34.485,1760.8
69.08,34.49,1762.8
69.08,34.495,1764.8
69.08,34.5,1766.8
69.08,34.505,1768.8
69.08,34.51,1770.8
69.08,34.515,1772.9
69.08,34.52,1774.9
69.08,34.525,1776.9
69.08,34.53,1778.9
69.08,34.535,1780.9
69.08,34.54,1782.8
69.08,34.545,1784.8
69.08,34.55,1786.8
69.08,34.555,1788.8
69.08,34.56,1790.8
69.08,34.565,1792.8
69.08,34.57,1794.8
69.08,34.575,1796.8
69.08,34.58,1798.8
69.08,34.585,1800.8
69.08,34.59,1802.8
69.08,34.595,1804.8
69.08,34.6,1806.8
69.08,34.605,1808.8
69.08,34.61,1810.8
69.085,34.46,1751.2
69.085,34.465,1753.2
69.085,34.47,1755.2
69.085,34.475,1757.2
69.085,34.48,1759.2
69.085,34.485,1761.2
69.085,34.49,1763.2
69.085,34.495,1765.2
69.085,34.5,1767.3
69.085,34.505,1769.3
69.085,34.51,1771.4
69.085,34.515,1773.5
69.085,34.52,1775.5
69.085,34.525,1777.6
69.085,34.53,1779.5
69.085,34.535,1781.5
69.085,34.54,1783.4
69.085,34.545,1785.3
69.085,34.55,1787.3
69.085,34.555,1789.2
69.085,34.56,1791.2
69.085,34.565,1793.2
69.085,34.57,1795.2
69.085,34.575,1797.2
69.085,34.58,1799.2
69.085,34.585,1801.2
69.085,34.59,1803.2
69.085,34.595,1805.2
69.085,34.6,1807.2
69.085,34.605,1809.2
69.085,34.61,1811.2
69.09,34.46,1751.6
69.09,34.465,1753.6
69.09,34.47,1755.6
69.09,34.475,1757.6
69.09,34.48,1759.6
69.09,34.485,1761.6
69.09,34.49,1763.6
69.09,34.495,1765.7
69.09,34.5,1767.8
69.09,34.505,1770.0
69.09,34.51,1772.3
69.09,34.515,1774.5
69.09,34.52,1776.8
