Unique_ID,UNID,Package_Name,SchemeCode,InterventionType,Scheme_Name,Region,Province,District,Villages,Contract_Signed_date,Contract_End_Date,Awarding_Status,Contract_Cost_USD,Cosntrution_Company,Intervention_Area (Ha),Households,Female_Headed_HH,Canal_Length_Km
1001,SCHEME_UID,134/JCA; Package # 1 - IS: Restoration of Sorkh Joy canal irrigation System,JICA-BMN-BMN-01,Rehabilitation of Irrigation Scheme,Sorkh Joy Irrigation Scheme ,Central Highland/ Bamyan,Bamyan,Bamyan City,Sorkh Joy,8-Jun-26,7-Sep-27,Awarded,"428,787",Aria Ghorband Construction Road Building & Product Construction Material Company (AGCC&PCC),490.0,630.0,100.0,8.0
1002,JICA-IS-01,134/JCA; Package # 2 - IS: Restoration of Shir Abd canal irrigation System,GDZ-GZI-A1-01,Rehabilitation of Irrigation Scheme,Shir Abd Irrigation Scheme,Southeast/ Gardez,Ghazni,Qarabagh,Shir Abad,18-May-26,17-Aug-27,Awarded,"338,391",Naeemi Safi Construction & Construction Material Company (NSCC),550.0,1056.0,25.0,12.0
1003,JICA-IS-02,134/JCA; Package # 3 - IS: Restoration of Yar Mohammad Khan (Yarokhan) & Joi Ulya Bazar canal irrigation System,HRT-HRT-A1-22,Rehabilitation of Irrigation Scheme,Yar Mohammad Khan (Yarokhan) & Joi Ulya Bazar Irrigation Scheme,Western / Herat,Herat,Obe,Yar Mohammad Khan & Joi Ulya Bazar,7-May-26,6-Aug-27,Awarded,"649,927","Jami Heravi Construction Company LTD (JHCC), ",1260.0,3800.0,133.0,40.0
1004,JICA-IS-03,134/JCA; Package # 4 - IS: Restoration of Shah Joy canal irrigation System.,KBL-WRK-JCA-A1-01,Rehabilitation of Irrigation Scheme,Shah Joy Irrigation Scheme ,Central/ Kabul,Maidan Wardak,Sayed Abad,"Salar, Yousof Khil, and Sultan Khil",14-Mar-26,13-Jun-27,Awarded,"169,729",Unique Exclusive Construction & Logistic Services (UCLC),512.0,2000.0,250.0,6.4
1005,JICA-IS-04,134/JCA; Package # 5 - IS: Restoration of Shawaroz Irrigation Scheme,KDR-ZBL-JICA-A1-01,Rehabilitation of Irrigation Scheme,Shawaroz Irrigation Scheme ,Southern/ Kandahar,Zabul,Kakar,Jawal Khaiul,,,Not Awarded,,,275.0,3250.0,205.0,6.0
1006,JICA-IS-05,"134/JCA; Package # 6 - IS: Restoration of Yakawlang (Deh Bala, Madras, Islamabad, Charbagh-1 & Chsrbagh-2) Cluster Irrigation Scheme",KDZ-BGN-JICA-A1-01,Rehabilitation of Irrigation Scheme,"Yakawlang (Deh Bala, Madras, Islamabad, Charbagh-1 & Chsrbagh-2 Cluster) Irrigation Scheme",Northeastern/ Kunduz,Baghlan,Khenjan,"Deh Bala, Madras, Islamabad, Charbagh-1 & Chsrbagh-2 Cluster",25-May-26,24-Jun-27,Awarded,"229,571",Mahmood Raqi Nawin Construction & Road Building Company (MRCC),460.0,1691.0,118.0,13.5
1007,JICA-IS-06,134/JCA; Package # 7- IS: Restoration of Ety Aregh Irrigation Scheme,JICA-MZR-FRB-A1-01,Rehabilitation of Irrigation Scheme,Ety Aregh Irrigation Scheme ,Northern/ Mazar,Faryab,Almar,Ety Aregh,10-Jun-26,9-Jul-27,Awarded,"236,870",Trust Grow Construction and Engineering Company  (TGECC),565.0,3460.0,260.0,11.4
1008,JICA-IS-07,134/JCA; Package # 1 - WSM: Construction of Sorkh Joy Check Dam,JICA-BMN-BMN-02,Watershed Management,Sorkh Joy Watershed Management Scheme,Central Highland/ Bamyan,Bamyan,Bamyan City,Sorkh Joy,16-Apr-26,15-Nov-26,Awarded,"51,075",Sabz Jawanan Construction Company (SJCC),50.0,630.0,100.0,
1009,JICA-WSM-01,134/JCA; Package # 2 - WSM: Construction of Shir Abad Gabion Check Dam,GDZ-GZI-Shir-Abad-02,Watershed Management,Shir Abd Watershed Management Project,Southeast/ Gardez,Ghazni,Qarabagh,Shir Abad,15-Apr-26,14-Nov-26,Awarded,"61,696",Rayan Saadat Construction Company (RSCC),1551.0,426.0,10.0,
1010,JICA-WSM-02,134/JCA; Package # 3 - WSM: Rehabilitation fo Yar Mohammad Khan (Yarokhan) & Joi Ulya Bazar Watershed Management Schemes,HRT-HRT-JCA,Watershed Management,Yar Mohammad Khan (Yarokhan) & Joi Ulya Bazar Watershed Management Project,Western / Herat,Herat,Obe,Yar Mohammad Khan & Joi Ulya Bazar,8-Aug-26,7-Jun-27,Awarded,"128,468",Nawid Samim Construction Company (NSCC),4350.0,2250.0,,
1011,JICA-WSM-03,134/JCA; Package # 4 - WSM: Construction of Shah Joy Check dams,KBL-WRK-JCA-A1-02,Watershed Management,Shah Joy Watershed Management Project,Central/ Kabul,Maidan Wardak,Sayed Abad,"Salar, Yousof Khil, and Sultan Khil",,,Not Awarded,,,998.0,4150.0,250.0,
1012,JICA-WSM-04,134/JCA; Package # 5 - WSM: Shawaroz Watershed Management Scheme,,Watershed Management,Shawaroz Watershed Management Project,Southern/ Kandahar,Zabul,Kakar,Jawal Khaiul,,,Not Awarded,,,434.0,260.0,,
1013,JICA-WSM-05,"134/JCA; Package # 6 - WSM: Construction of 5 check dams of Yakawlang (Deh Bala/Qool Khaksar site #1,Maiandeh/Qool Faqir site #2, Madressa/Qool Naiazullah site #3 & Qool Mazar Site # 4, and Charbagh/Qool Khalazai Site #5)",KDZ-BGN-134-B1- 01,Watershed Management,"Yakawlang (Deh Bala, Madras, Islamabad, Charbagh-1 & Chsrbagh-2 Cluster) WSM Scheme",Northeastern/ Kunduz,Baghlan,Khenjan,"Deh Bala, Madras, Islamabad, Charbagh-1 & Chsrbagh-2 Cluster",,,Not Awarded,,,450.0,1450.0,72.0,
1014,JICA-WSM-06,134/JCA; Package # 7- WSM: Construction of Ety Orugh Check dams,JICA-MZR-FRB-B-01,Watershed Management,Ety Orugh Watershed Management Scheme,Northern/ Mazar,Faryab,Almar,Ety Aregh,,,Not Awarded,,,280.0,2860.0,260.0,
,JICA-WSM-07,,,,,,,,,,,,,,,,,
