#,Contract package ,SchemeCode,InterventionType,Name of Scheme,Region,Province,District,Villages,Contract Signed date,Contract End Date,Contract Cost (USD),Cosntrution Company,Area after intervention (Ha),NumberOfHousehold,Female_Headed_Household,CanalLength(Km)
1,134/JCA; Package # 1 - IS: Restoration of Sorkh Joy canal irrigation System,JICA-BMN-BMN-01,Rehabilitation of Irrigation Scheme,Sorkh Joy Irrigation Scheme ,Central Highland/ Bamyan,Bamyan,Bamyan City,Sorkh Joy,8-Jun-26,7-Sep-27,"428,787",Aria Ghorband Construction Road Building & Product Construction Material Company (AGCC&PCC),490,630,100,8
2,134/JCA; Package # 2 - IS: Restoration of Shir Abd canal irrigation System,GDZ-GZI-A1-01,Rehabilitation of Irrigation Scheme,Shir Abd Irrigation Scheme,Southeast/ Gardez,Ghazni,Qarabagh,Shir Abad,18-May-26,17-Aug-27,"338,391",Naeemi Safi Construction & Construction Material Company (NSCC),550,1056,25,12
3,134/JCA; Package # 3 - IS: Restoration of Yar Mohammad Khan (Yarokhan) & Joi Ulya Bazar canal irrigation System,HRT-HRT-A1-22,Rehabilitation of Irrigation Scheme,Yar Mohammad Khan (Yarokhan) & Joi Ulya Bazar Irrigation Scheme,Western / Herat,Herat,Obe,Yar Mohammad Khan & Joi Ulya Bazar,7-May-26,6-Aug-27,"649,927","Jami Heravi Construction Company LTD (JHCC), ","1,260","3,800",133,40
4,134/JCA; Package # 4 - IS: Restoration of Shah Joy canal irrigation System.,KBL-WRK-JCA-01,Rehabilitation of Irrigation Scheme,Shah Joy Irrigation Scheme ,Central/ Kabul,Maidan Wardak,Sayed Abad,"Salar, Yousof Khil, and Sultan Khil",14-Mar-26,13-Jun-27,"169,729",Unique Exclusive Construction & Logistic Services (UCLC),512,2000,250,6.4
5,134/JCA; Package # 5 - IS: Restoration of Shawaroz Irrigation Scheme,KDR-ZBL-JICA-A1-01,Rehabilitation of Irrigation Scheme,Shawaroz Irrigation Scheme ,Southern/ Kandahar,Zabul,Kakar,Jawal Khaiul,,,,Not Awarded,275,3250,205,6
6,"134/JCA; Package # 6 - IS: Restoration of Yakawlang (Deh Bala, Madras, Islamabad, Charbagh-1 & Chsrbagh-2) Cluster Irrigation Scheme",KDZ-BGN-JICA-A1-01,Rehabilitation of Irrigation Scheme,"Yakawlang (Deh Bala, Madras, Islamabad, Charbagh-1 & Chsrbagh-2 Cluster) Irrigation Scheme",Northeastern/ Kunduz,Baghlan,Khenjan,"Deh Bala, Madras, Islamabad, Charbagh-1 & Chsrbagh-2 Cluster",25-May-26,24-Jun-26,"229,571",Mahmood Raqi Nawin Construction & Road Building Company (MRCC),460,1691,118,13.5
7,134/JCA; Package # 7- IS: Restoration of Ety Aregh Irrigation Scheme,JICA-MZR-FRB-A1-01,Rehabilitation of Irrigation Scheme,Ety Aregh Irrigation Scheme ,Northern/ Mazar,Faryab,Almar,Ety Aregh,10-Jun-26,9-Jul-27,"236,870",Trust Grow Construction and Engineering Company  (TGECC),565,3460,260,11.4
,,,,,,,,,,,,,,,,
,134/JCA; Package # 1 - WSM: Construction of Sorkh Joy Check Dam,JICA-BMN-BMN-02,Watershed Management,Sorkh Joy Watershed Management Scheme,Central Highland/ Bamyan,Bamyan,Bamyan City,Sorkh Joy,16-Apr-26,15-Nov-26,31-Oct-39,Sabz Jawanan Construction Company (SJCC),50,630,100,
,134/JCA; Package # 2 - WSM: Construction of Shir Abad Gabion Check Dam,GDZ-GZI-Shir Abad-02,Watershed Management,Shir Abd Watershed Management Project,Southeast/ Gardez,Ghazni,Qarabagh,Shir Abad,15-Apr-26,14-Nov-26,29-Nov-68,Rayan Saadat Construction Company (RSCC),1551,426,10,
,134/JCA; Package # 3 - WSM: Rehabilitation fo Yar Mohammad Khan (Yarokhan) & Joi Ulya Bazar Watershed Management Schemes,HRT-HRT-JCA,Watershed Management,Yar Mohammad Khan (Yarokhan) & Joi Ulya Bazar Watershed Management Project,Western / Herat,Herat,Obe,Yar Mohammad Khan & Joi Ulya Bazar,8-Aug-26,7-Jun-27,23-Sep-51,Nawid Samim Construction Company (NSCC),4350,2250,,
,134/JCA; Package # 4 - WSM: Construction of Shah Joy Check dams,KBL-WRK-JCA-01,Watershed Management,Shah Joy Watershed Management Project,Central/ Kabul,Maidan Wardak,Sayed Abad,"Salar, Yousof Khil, and Sultan Khil",,,,Not Awarded,998,4150,250,
,134/JCA; Package # 5 - WSM: Shawaroz Watershed Management Scheme,,Watershed Management,Shawaroz Watershed Management Project,Southern/ Kandahar,Zabul,Kakar,Jawal Khaiul,,,,Not Awarded,434,260,,
,"134/JCA; Package # 6 - WSM: Construction of 5 check dams of Yakawlang (Deh Bala/Qool Khaksar site #1,Maiandeh/Qool Faqir site #2, Madressa/Qool Naiazullah site #3 & Qool Mazar Site # 4, and Charbagh/Qool Khalazai Site #5)",KDZ-BGN-134-B1- 01,Watershed Management,"Yakawlang (Deh Bala, Madras, Islamabad, Charbagh-1 & Chsrbagh-2 Cluster) WSM Scheme",Northeastern/ Kunduz,Baghlan,Khenjan,"Deh Bala, Madras, Islamabad, Charbagh-1 & Chsrbagh-2 Cluster",,,,Not Awarded,450,1450,72,
,134/JCA; Package # 7- WSM: Construction of Ety Orugh Check dams,JICA-MZR-FRB-B-01,Watershed Management,Ety Orugh Watershed Management Scheme,Northern/ Mazar,Faryab,Almar,Ety Aregh,,,,Not Awarded,280,2860,260,
