Uniq_ID,UNID,Site_Number,Package_Name,SchemeCode,InterventionType,Scheme_Name,Region,Province,District,Villages,Contract_Signed_date,Contract_End_Date,Awarding_Status,Physical_Progress_Percentage,Contract_Cost_USD,Construction_Company,Intervention_Area (Ha),Households,Female_Headed_HH,Canal_Length_Km,Latitude,Longitude
1001,JICA-IS-01,SITE-01,134/JCA; Package # 1 - IS: Restoration of Sorkh Joy canal irrigation System,BMN-BMN-01,Rehabilitation of Irrigation Scheme,Sorkh Joy Irrigation Scheme ,Central Highland/ Bamyan,Bamyan,Bamyan City,Sorkh Joy,8-Jun-26,7-Sep-27,Awarded,13,"428,787",Aria Ghorband Construction Road Building & Product Construction Material Company (AGCC&PCC),490,630,100,8,34.72006,67.65364
1002,JICA-IS-02,SITE-02,134/JCA; Package # 2 - IS: Restoration of Shir Abd canal irrigation System,GDZ-GZI-A1-01,Rehabilitation of Irrigation Scheme,Shir Abd Irrigation Scheme,Southeast/ Gardez,Ghazni,Qarabagh,Shir Abad,18-May-26,17-Aug-27,Awarded,19,"338,391",Naeemi Safi Construction & Construction Material Company (NSCC),550,1056,25,12,33.31863523,68.02050388
1003,JICA-IS-03,SITE-03,134/JCA; Package # 3 - IS: Restoration of Yar Mohammad Khan (Yarokhan) & Joi Ulya Bazar canal irrigation System,HRT-HRT-A1-22,Rehabilitation of Irrigation Scheme,Yar Mohammad Khan (Yarokhan) & Joi Ulya Bazar Irrigation Scheme,Western / Herat,Herat,Obe,Yar Mohammad Khan & Joi Ulya Bazar,7-May-26,6-Aug-27,Awarded,15,"649,927","Jami Heravi Construction Company LTD (JHCC), ",1260,3800,133,40,34.355257,63.233673
1004,JICA-IS-04,SITE-04,134/JCA; Package # 4 - IS: Restoration of Shah Joy canal irrigation System.,KBL-WRK-A1-01,Rehabilitation of Irrigation Scheme,Shah Joy Irrigation Scheme ,Central/ Kabul,Maidan Wardak,Sayed Abad,"Salar, Yousof Khil, and Sultan Khil",14-Mar-26,13-Jun-27,Awarded,27,"169,729",Unique Exclusive Construction & Logistic Services (UCLC),512,2000,250,6.4,33.882119,67.055
1005,JICA-IS-05,SITE-05,134/JCA; Package # 5 - IS: Restoration of Shawaroz Irrigation Scheme,KDR-ZBL-A1-01,Rehabilitation of Irrigation Scheme,Shawaroz Irrigation Scheme ,Southern/ Kandahar,Zabul,Kakar,Jawal Khaiul,,,Not Awarded,,,,275,3250,205,6,32.8462,67.0554
1006,JICA-IS-06,SITE-06,"134/JCA; Package # 6 - IS: Restoration of Yakawlang (Deh Bala, Madras, Islamabad, Charbagh-1 & Chsrbagh-2) Cluster Irrigation Scheme",KDZ-BGN-A1-01,Rehabilitation of Irrigation Scheme,"Yakawlang (Deh Bala, Madras, Islamabad, Charbagh-1 & Charbagh-2 Cluster) Irrigation Scheme",Northeastern/ Kunduz,Baghlan,Khenjan,"Deh Bala, Madras, Islamabad, Charbagh-1 & Chsrbagh-2 Cluster",25-May-26,24-Jun-27,Awarded,39,"229,571",Mahmood Raqi Nawin Construction & Road Building Company (MRCC),460,1691,118,13.5,35.5782,68.9732
1007,JICA-IS-07,SITE-07,134/JCA; Package # 7- IS: Restoration of Ety Aregh Irrigation Scheme,MZR-FRB-A1-01,Rehabilitation of Irrigation Scheme,Ety Aregh Irrigation Scheme ,Northern/ Mazar,Faryab,Almar,Ety Aregh,10-Jun-26,9-Jul-27,Awarded,5,"236,870",Trust Grow Construction and Engineering Company  (TGECC),565,3460,260,11.4,39.5971,63.9087
1008,JICA-WSM-01,SITE-01,134/JCA; Package # 1 - WSM: Construction of Sorkh Joy Check Dam,BMN-BMN-A2-01,Watershed Management,Sorkh Joy Watershed Management Scheme,Central Highland/ Bamyan,Bamyan,Bamyan City,Sorkh Joy,16-Apr-26,15-Nov-26,Awarded,85,"51,075",Sabz Jawanan Construction Company (SJCC),50,630,100,,34.72003,67.6535
1009,JICA-WSM-02,SITE-02,134/JCA; Package # 2 - WSM: Construction of Shir Abad Gabion Check Dam,GDZ-GZI-A2-01,Watershed Management,Shir Abd Watershed Management Project,Southeast/ Gardez,Ghazni,Qarabagh,Shir Abad,15-Apr-26,14-Nov-26,Awarded,45,"61,696",Rayan Saadat Construction Company (RSCC),1551,426,10,,33.28834656,68.02445
1010,JICA-WSM-03,SITE-03,134/JCA; Package # 3 - WSM: Rehabilitation for Yar Mohammad Khan (Yarokhan) & Joi Ulya Bazar Watershed Management Schemes,HRT-HRT-A2-01,Watershed Management,Yar Mohammad Khan (Yarokhan) & Joi Ulya Bazar Watershed Management Project,Western / Herat,Herat,Obe,Yar Mohammad Khan & Joi Ulya Bazar,8-Aug-26,7-Jun-27,Awarded,1,"128,468",Nawid Samim Construction Company (NSCC),4350,2250,,,34.425654,34.425989
1011,JICA-WSM-04,SITE-04,134/JCA; Package # 4 - WSM: Construction of Shah Joy Check dams,KBL-WRK-A2-01,Watershed Management,Shah Joy Watershed Management Project,Central/ Kabul,Maidan Wardak,Sayed Abad,"Salar, Yousof Khil, and Sultan Khil",,,Not Awarded,,,,998,4150,250,,33.855785,68.644026
1012,JICA-WSM-05,SITE-05,134/JCA; Package # 5 - WSM: Shawaroz Watershed Management Scheme,KDR-ZBL-A2-01,Watershed Management,Shawaroz Watershed Management Project,Southern/ Kandahar,Zabul,Kakar,Jawal Khaiul,,,Not Awarded,,,,434,260,,,32.8592,67.0554
1013,JICA-WSM-06,SITE-06,"134/JCA; Package # 6 - WSM: Construction of 5 check dams of Yakawlang (Deh Bala/Qool Khaksar site #1,Maiandeh/Qool Faqir site #2, Madressa/Qool Naiazullah site #3 & Qool Mazar Site # 4, and Charbagh/Qool Khalazai Site #5)",KDZ-BGN-A2-01,Watershed Management,"Yakawlang (Deh Bala, Madras, Islamabad, Charbagh-1 & Chsrbagh-2 Cluster) WSM Scheme",Northeastern/ Kunduz,Baghlan,Khenjan,"Deh Bala, Madras, Islamabad, Charbagh-1 & Chsrbagh-2 Cluster",,,Not Awarded,,,,450,1450,72,,35.541851,68.891455
1014,JICA-WSM-07,SITE-07,134/JCA; Package # 7- WSM: Construction of Ety Aregh Check dams,MZR-FRB-A2-01,Watershed Management,Ety Orugh Watershed Management Scheme,Northern/ Mazar,Faryab,Almar,Ety Aregh,,,Not Awarded,,,,280,2860,260,,39.5971,63.9087
