Scheme_UID,Pair_ID,Program,STATUS,Scheme_Name,Package_Name,SchemeCode,InterventionType,Region,Province,District,Villages,COST_USD,AREA_HA,HOUSEHOLDS,Female_Headed_HH,CANAL_KM,CONTRACT_START,CONTRACT_END,CONTRACTOR,LON,LAT,XY_QUALITY,Source_Uniq_ID
JICA-IS-01,SITE-01,Irrigation,Awarded,Sorkh Joy Irrigation Scheme,134/JCA; Package # 1 - IS: Restoration of Sorkh Joy canal irrigation System,BMN-BMN-01,Rehabilitation of Irrigation Scheme,Central Highland/ Bamyan,Bamyan,Bamyan City,Sorkh Joy,428787,490,630,100,8,2026-06-08,2027-09-07,Aria Ghorband Construction Road Building & Product Construction Material Company (AGCC&PCC),67.653640,34.720060,ok,1001
JICA-IS-02,SITE-02,Irrigation,Awarded,Shir Abd Irrigation Scheme,134/JCA; Package # 2 - IS: Restoration of Shir Abd canal irrigation System,GDZ-GZI-A1-01,Rehabilitation of Irrigation Scheme,Southeast/ Gardez,Ghazni,Qarabagh,Shir Abad,338391,550,1056,25,12,2026-05-18,2027-08-17,Naeemi Safi Construction & Construction Material Company (NSCC),68.020504,33.318635,ok,1002
JICA-IS-03,SITE-03,Irrigation,Awarded,Yar Mohammad Khan (Yarokhan) & Joi Ulya Bazar Irrigation Scheme,134/JCA; Package # 3 - IS: Restoration of Yar Mohammad Khan (Yarokhan) & Joi Ulya Bazar canal irrigation System,HRT-HRT-A1-22,Rehabilitation of Irrigation Scheme,Western / Herat,Herat,Obe,Yar Mohammad Khan & Joi Ulya Bazar,649927,1260,3800,133,40,2026-05-07,2027-08-06,Jami Heravi Construction Company LTD (JHCC),63.233673,34.355257,ok,1003
JICA-IS-04,SITE-04,Irrigation,Awarded,Shah Joy Irrigation Scheme,134/JCA; Package # 4 - IS: Restoration of Shah Joy canal irrigation System.,KBL-WRK-A1-01,Rehabilitation of Irrigation Scheme,Central/ Kabul,Maidan Wardak,Sayed Abad,"Salar, Yousof Khil, and Sultan Khil",169729,512,2000,250,6.4,2026-03-14,2027-06-13,Unique Exclusive Construction & Logistic Services (UCLC),67.055000,33.882119,ok,1004
JICA-IS-05,SITE-05,Irrigation,Not Awarded,Shawaroz Irrigation Scheme,134/JCA; Package # 5 - IS: Restoration of Shawaroz Irrigation Scheme,KDR-ZBL-A1-01,Rehabilitation of Irrigation Scheme,Southern/ Kandahar,Zabul,Kakar,Jawal Khaiul,,275,3250,205,6,,,,67.055400,32.846200,ok,1005
JICA-IS-06,SITE-06,Irrigation,Awarded,"Yakawlang (Deh Bala, Madras, Islamabad, Charbagh-1 & Charbagh-2 Cluster) Irrigation Scheme","134/JCA; Package # 6 - IS: Restoration of Yakawlang (Deh Bala, Madras, Islamabad, Charbagh-1 & Chsrbagh-2) Cluster Irrigation Scheme",KDZ-BGN-A1-01,Rehabilitation of Irrigation Scheme,Northeastern/ Kunduz,Baghlan,Khenjan,"Deh Bala, Madras, Islamabad, Charbagh-1 & Chsrbagh-2 Cluster",229571,460,1691,118,13.5,2026-05-25,2027-06-24,Mahmood Raqi Nawin Construction & Road Building Company (MRCC),68.973200,35.578200,ok,1006
JICA-IS-07,SITE-07,Irrigation,Awarded,Ety Aregh Irrigation Scheme,134/JCA; Package # 7- IS: Restoration of Ety Aregh Irrigation Scheme,MZR-FRB-A1-01,Rehabilitation of Irrigation Scheme,Northern/ Mazar,Faryab,Almar,Ety Aregh,236870,565,3460,260,11.4,2026-06-10,2027-07-09,Trust Grow Construction and Engineering Company (TGECC),63.908700,39.597100,ok,1007
JICA-WSM-01,SITE-01,Watershed,Awarded,Sorkh Joy Watershed Management Scheme,134/JCA; Package # 1 - WSM: Construction of Sorkh Joy Check Dam,BMN-BMN-A2-01,Watershed Management,Central Highland/ Bamyan,Bamyan,Bamyan City,Sorkh Joy,51075,50,630,100,,2026-04-16,2026-11-15,Sabz Jawanan Construction Company (SJCC),67.653500,34.720030,ok,1008
JICA-WSM-02,SITE-02,Watershed,Awarded,Shir Abd Watershed Management Project,134/JCA; Package # 2 - WSM: Construction of Shir Abad Gabion Check Dam,GDZ-GZI-A2-01,Watershed Management,Southeast/ Gardez,Ghazni,Qarabagh,Shir Abad,61696,1551,426,10,,2026-04-15,2026-11-14,Rayan Saadat Construction Company (RSCC),68.024450,33.288347,ok,1009
JICA-WSM-03,SITE-03,Watershed,Awarded,Yar Mohammad Khan (Yarokhan) & Joi Ulya Bazar Watershed Management Project,134/JCA; Package # 3 - WSM: Rehabilitation for Yar Mohammad Khan (Yarokhan) & Joi Ulya Bazar Watershed Management Schemes,HRT-HRT-A2-01,Watershed Management,Western / Herat,Herat,Obe,Yar Mohammad Khan & Joi Ulya Bazar,128468,4350,2250,,,2026-08-08,2027-06-07,Nawid Samim Construction Company (NSCC),,34.425654,invalid_lonlat,1010
JICA-WSM-04,SITE-04,Watershed,Not Awarded,Shah Joy Watershed Management Project,134/JCA; Package # 4 - WSM: Construction of Shah Joy Check dams,KBL-WRK-A2-01,Watershed Management,Central/ Kabul,Maidan Wardak,Sayed Abad,"Salar, Yousof Khil, and Sultan Khil",,998,4150,250,,,,,68.644026,33.855785,ok,1011
JICA-WSM-05,SITE-05,Watershed,Not Awarded,Shawaroz Watershed Management Project,134/JCA; Package # 5 - WSM: Shawaroz Watershed Management Scheme,KDR-ZBL-A2-01,Watershed Management,Southern/ Kandahar,Zabul,Kakar,Jawal Khaiul,,434,260,,,,,,67.055400,32.859200,ok,1012
JICA-WSM-06,SITE-06,Watershed,Not Awarded,"Yakawlang (Deh Bala, Madras, Islamabad, Charbagh-1 & Chsrbagh-2 Cluster) WSM Scheme","134/JCA; Package # 6 - WSM: Construction of 5 check dams of Yakawlang (Deh Bala/Qool Khaksar site #1,Maiandeh/Qool Faqir site #2, Madressa/Qool Naiazullah site #3 & Qool Mazar Site # 4, and Charbagh/Qool Khalazai Site #5)",KDZ-BGN-A2-01,Watershed Management,Northeastern/ Kunduz,Baghlan,Khenjan,"Deh Bala, Madras, Islamabad, Charbagh-1 & Chsrbagh-2 Cluster",,450,1450,72,,,,,68.891455,35.541851,ok,1013
JICA-WSM-07,SITE-07,Watershed,Not Awarded,Ety Orugh Watershed Management Scheme,134/JCA; Package # 7- WSM: Construction of Ety Aregh Check dams,MZR-FRB-A2-01,Watershed Management,Northern/ Mazar,Faryab,Almar,Ety Aregh,,280,2860,260,,,,,63.908700,39.597100,ok,1014
