well,n,start,end,change_m,mk_trend,mk_p,mk_z,s,tau,sen_m_year,sen_per_week,hamed_p,hamed_trend,hamed_sen_m_year
W-N1 near dam,104,12.024377366380355,12.440690690000574,0.4163133236202192,increasing,1.4232344192066648e-09,6.052829538033182,2156.0,0.40253920836445106,0.12439741396838182,0.0023922579609304195,0.00011989531993727987,increasing,0.12439741396838182
W-N2 near dam,104,11.51597440879911,11.753150115238927,0.23717570643981745,increasing,3.970611462245088e-05,4.10918311561139,1464.0,0.27333831217326365,0.09243791735275712,0.0017776522567837909,0.00729171734660139,increasing,0.09243791735275712
W-M1 mid fan,104,11.012184763307124,11.268098112416164,0.25591334910903996,no trend,0.23925096804547863,1.176861056350767,420.0,0.07841672890216579,0.02757472511647108,0.0005302831753167516,0.417036406026948,no trend,0.02757472511647108
W-M2 mid fan,104,10.991832797878457,10.856811738152198,-0.13502105972625955,decreasing,0.0032153196159194763,-2.946365747283901,-1050.0,-0.1960418222554145,-0.06405681867179253,-0.0012318618975344716,0.04295973478881421,decreasing,-0.06405681867179253
W-F1 far,104,10.60892174967108,10.5493908315933,-0.05953091807777966,decreasing,1.502888148330328e-05,-4.32826464877454,-1542.0,-0.28790141896938015,-0.10661871075492133,-0.0020503598222100256,0.0006910546271114981,decreasing,-0.10661871075492133
KS sarchah,104,11.222388038427887,11.55288540056215,0.3304973621342633,increasing,4.752347758651965e-06,4.575433557984247,1630.0,0.3043315907393577,0.09379203452580054,0.0018036929716500104,0.0026990427720281485,increasing,0.09379203452580054
W-N3 noisy,104,11.103649984547985,11.154345391270832,0.05069540672284667,decreasing,0.04521702677067285,-2.002629912119563,-714.0,-0.13330843913368184,-0.08691596198115718,-0.0016714608073299458,0.11483408093973857,no trend,-0.08691596198115718
C-1 control,104,10.1087871264699,9.83506603912903,-0.27372108734087064,decreasing,0.0,-10.024384511016438,-3570.0,-0.6665421956684092,-0.3144962439477814,-0.006048004691303489,7.741585150711217e-12,decreasing,-0.3144962439477814
C-2 control,104,9.898499731159745,9.662248664266412,-0.23625106689333286,decreasing,1.7763568394002505e-15,-7.957153633989792,-2834.0,-0.529126213592233,-0.22995218699499725,-0.004422157442211486,8.890503115033255e-06,decreasing,-0.22995218699499725
C-3 control,104,9.684913549081443,9.635391119853976,-0.04952242922746741,decreasing,2.746106009254845e-09,-5.946097509056262,-2118.0,-0.3954443614637789,-0.16187065960869193,-0.0031128973001671523,4.1485102515448347e-05,decreasing,-0.16187065960869193
