date,W-N1 near dam,W-N2 near dam,W-M1 mid fan,W-M2 mid fan,W-F1 far,KS sarchah,W-N3 noisy,C-1 control,C-2 control,C-3 control
2024-01-07,12.024,11.516,11.012,10.992,10.609,11.222,11.104,10.109,9.898,9.685
2024-01-14,11.935,11.599,11.082,10.863,10.646,11.247,10.897,10.12,9.977,9.804
2024-01-21,12.096,11.549,11.223,10.921,10.52,11.442,10.938,10.255,9.954,9.919
2024-01-28,12.129,11.62,11.014,10.811,10.675,11.336,11.342,10.233,9.951,9.923
2024-02-04,11.915,11.742,11.164,10.865,10.561,11.48,10.827,10.281,10.012,9.868
2024-02-11,11.983,11.526,11.126,10.794,10.48,11.348,10.537,10.23,10.178,9.946
2024-02-18,12.113,11.735,11.155,10.991,10.514,11.514,11.434,10.274,10.223,9.916
2024-02-25,12.091,11.73,11.3,10.764,10.435,11.422,11.651,10.27,10.034,9.995
2024-03-03,12.128,11.667,11.263,10.989,10.502,11.444,11.01,10.324,10.241,9.911
2024-03-10,12.073,11.6,11.352,10.89,10.562,11.559,10.68,10.329,10.077,9.852
2024-03-17,12.221,11.746,11.21,11.046,10.683,11.414,11.044,10.136,10.233,9.925
2024-03-24,12.221,11.698,11.162,11.004,10.778,11.375,11.054,10.086,10.068,9.6
2024-03-31,12.171,11.772,11.213,11.125,10.469,11.42,11.077,10.344,10.087,9.932
2024-04-07,12.26,11.757,11.262,11.007,10.647,11.496,10.875,10.355,10.105,9.528
2024-04-14,12.21,11.901,11.256,10.753,10.502,11.337,11.247,10.173,10.354,9.717
2024-04-21,12.105,11.735,11.128,10.916,10.65,11.514,11.232,10.098,10.138,9.93
2024-04-28,12.203,11.663,11.243,10.791,10.584,11.418,10.783,10.246,9.99,9.926
2024-05-05,12.095,11.768,11.252,10.857,10.407,11.55,11.26,10.302,10.131,9.754
2024-05-12,12.238,11.767,11.475,11.074,10.674,11.263,11.55,10.359,10.0,9.789
2024-05-19,12.159,11.863,11.403,10.969,10.511,11.385,11.128,10.243,9.976,9.987
2024-05-26,12.142,11.809,11.121,10.812,10.507,11.306,11.005,10.158,10.088,9.789
2024-06-02,12.094,11.757,11.168,10.767,10.441,11.367,11.037,10.1,9.994,10.048
2024-06-09,12.238,11.847,11.039,10.87,10.469,11.443,11.191,10.155,10.0,9.809
2024-06-16,12.119,11.597,11.114,10.72,10.563,11.399,10.662,10.112,9.96,9.835
2024-06-23,12.087,11.636,11.193,10.766,10.487,11.382,11.065,10.037,9.971,9.94
2024-06-30,12.082,11.598,11.269,10.861,10.523,11.379,10.929,10.263,9.961,9.775
2024-07-07,12.143,11.635,11.062,10.94,10.511,11.396,11.407,10.223,9.731,9.645
2024-07-14,12.119,11.534,11.056,10.865,10.592,11.288,10.947,10.152,9.947,9.717
2024-07-21,12.112,11.704,10.894,10.533,10.41,11.414,11.338,9.968,9.781,9.708
2024-07-28,12.103,11.616,11.08,10.805,10.282,11.4,10.715,10.092,9.722,9.56
2024-08-04,12.231,11.493,10.978,10.767,10.522,11.367,11.073,10.057,9.829,9.655
2024-08-11,12.019,11.524,11.021,10.792,10.369,11.372,11.002,10.024,9.826,9.592
2024-08-18,12.003,11.635,10.976,10.914,10.501,11.343,10.729,10.073,9.741,9.745
2024-08-25,11.972,11.674,11.045,10.499,10.417,11.475,10.949,10.009,9.864,9.644
2024-09-01,12.081,11.772,10.871,10.653,10.355,11.299,11.168,10.004,9.656,9.601
2024-09-08,12.119,11.85,10.894,10.776,10.395,11.277,10.823,9.983,9.729,9.609
2024-09-15,12.017,11.622,11.249,10.531,10.548,11.238,10.516,9.949,9.704,9.634
2024-09-22,11.959,11.494,10.905,10.864,10.556,11.215,10.88,9.77,9.744,9.667
2024-09-29,11.961,11.391,10.922,10.74,10.351,11.198,10.682,9.912,9.767,9.501
2024-10-06,12.082,11.609,11.216,10.792,10.359,11.229,10.805,9.856,9.647,9.493
2024-10-13,12.094,11.515,11.325,10.637,10.45,11.298,10.863,9.794,9.8,9.707
2024-10-20,12.085,11.556,10.922,10.793,10.259,11.336,10.508,10.029,9.739,9.556
2024-10-27,11.996,11.546,11.008,10.826,10.381,11.321,10.532,10.032,9.564,9.457
2024-11-03,12.078,11.597,11.086,10.74,10.35,11.265,11.0,10.004,9.56,9.647
2024-11-10,12.08,11.716,11.233,10.748,10.39,11.409,10.786,9.919,9.739,9.655
2024-11-17,12.101,11.645,10.972,10.762,10.284,11.408,10.346,10.011,9.726,9.462
2024-11-24,12.167,11.63,11.058,10.648,10.217,11.349,11.093,9.909,9.743,9.646
2024-12-01,12.13,11.565,11.173,10.738,10.179,11.324,10.992,9.931,9.758,9.706
2024-12-08,12.183,11.523,11.152,10.751,10.286,11.436,10.787,9.835,9.789,9.68
2024-12-15,12.151,11.646,11.086,10.823,10.364,11.423,10.668,9.963,9.864,9.717
2024-12-22,12.187,11.701,11.125,10.905,10.394,11.309,11.155,9.945,9.689,9.525
2024-12-29,12.232,11.882,11.017,10.694,10.63,11.437,11.062,9.846,9.694,9.711
2025-01-05,12.083,11.752,11.146,10.811,10.561,11.481,11.524,9.956,9.712,9.66
2025-01-12,12.193,11.846,11.159,11.003,10.367,11.406,11.107,9.963,9.847,9.654
2025-01-19,12.199,11.729,11.225,10.773,10.512,11.51,11.114,10.123,9.943,9.802
2025-01-26,12.203,11.684,11.161,10.779,10.449,11.395,11.006,10.06,9.803,9.874
2025-02-02,12.249,11.72,11.278,10.905,10.473,11.635,11.235,9.998,9.626,9.917
2025-02-09,12.407,11.756,11.346,10.988,10.532,11.643,11.206,10.025,9.707,9.879
2025-02-16,12.233,12.027,11.273,10.909,10.586,11.538,11.355,10.015,9.793,9.746
2025-02-23,12.394,11.775,11.304,11.064,10.499,11.6,10.975,10.001,9.824,9.8
2025-03-02,12.195,11.936,11.285,11.022,10.647,11.391,11.003,9.935,9.843,9.849
2025-03-09,12.314,11.789,11.288,11.028,10.433,11.501,11.001,10.013,9.887,9.789
2025-03-16,12.364,11.963,11.224,11.003,10.553,11.579,11.286,9.966,9.858,9.794
2025-03-23,12.406,11.921,11.333,11.203,10.816,11.525,11.446,9.926,9.981,9.866
2025-03-30,12.422,11.877,11.296,10.927,10.58,11.673,11.018,10.065,9.824,9.778
2025-04-06,12.433,11.891,11.517,10.731,10.701,11.78,11.027,10.051,9.805,9.71
2025-04-13,12.345,11.838,11.465,11.127,10.565,11.528,11.188,9.872,9.921,9.738
2025-04-20,12.337,11.937,11.345,10.898,10.61,11.556,11.062,9.997,9.733,9.838
2025-04-27,12.442,11.854,11.227,10.957,10.541,11.64,11.322,10.078,9.899,9.769
2025-05-04,12.356,11.782,11.188,11.083,10.523,11.747,10.611,10.073,9.863,9.794
2025-05-11,12.266,11.772,11.412,10.756,10.454,11.516,10.917,10.058,9.83,9.818
2025-05-18,12.272,11.897,11.312,10.786,10.565,11.628,10.918,9.965,9.973,9.702
